profile,months_active,bill_payment_ratio,qr_transaction_consistency,airtime_topup_frequency,psychometric_score,network_trust_score,avg_transaction_value,transaction_volatility,days_since_last_transaction,community_fraud_flag,risk_band
refused,5,0.22384597694181357,0.17107955971443434,0.15368481896583502,1.5441327418017647,0.12869853319204935,1950,0.6098857517553933,49,0,0
platinum,18,0.8577453216811769,0.8554531291393548,0.8951534943375147,4.150676107709877,0.9883064825899132,49323,0.24175881881403655,3,0,3
silver,10,0.6247783238311344,0.4735447079192576,0.2891946495089945,2.8506199558602967,0.5117239529460106,1275,0.43769054849496203,25,0,1
gold,14,0.8423304530710447,0.7612599122241607,0.6161511998111318,3.8516845017612242,0.5961247632970734,14433,0.4016663697377324,7,0,2
silver,11,0.45110083740117757,0.36682449731375655,0.3237515013041553,2.049881910818912,0.4533281483088014,4487,0.4418597060447116,29,0,1
silver,9,0.5963600610049864,0.3823944578605465,0.49875854230478156,3.1893687113249714,0.4689746888537733,5770,0.36301135081737607,5,0,1
gold,34,0.6522077338736475,0.7158276773760005,0.6829669899993756,3.0334092615151036,0.5798301245124581,14287,0.29402704267201396,8,0,2
refused,2,0.25211361579853725,0.027566326566229458,0.011195599072519324,1.2596268592306026,0.11696842926389994,1423,0.920581211129619,88,1,0
platinum,48,0.9126919047573367,0.9918149589128056,0.9366420945612233,4.274540254000126,0.8524682583826826,19342,0.0779659644792208,2,0,3
silver,13,0.5525568246534872,0.5183502487738114,0.5463013381700477,2.3412724446119677,0.3251540419491674,5499,0.47638305505256745,29,0,1
platinum,59,0.9078094931448347,0.8972714963991216,0.9456038261499525,4.178445965227772,0.622454441366484,12282,0.12321614611186166,2,0,3
silver,13,0.5399086716223227,0.5115850872117937,0.26326322318071016,3.329667517095886,0.37924521723613774,4791,0.6772768155931641,16,0,1
silver,17,0.4733757195436607,0.4595470532432415,0.35590728080759665,2.835434194791103,0.33670190042033904,7641,0.4713999538251113,11,0,1
gold,25,0.7720113892685322,0.7114312608377634,0.5879125883545797,3.863996163152936,0.7384631168643329,12573,0.22428512615241558,8,0,2
platinum,25,0.9294760034771675,0.8240677524069993,0.8761185123103452,4.310928930007554,0.8148029953405433,13167,0.22652176512031513,0,0,3
platinum,50,0.9811476407281625,0.8629193113618823,0.9008171204378084,4.038021848237455,0.7559037549705968,37810,0.056531332812417984,1,0,3
gold,35,0.7835378147604115,0.576700176000591,0.531272428328975,3.836917940684631,0.5881747652084,12234,0.4307446872333438,12,0,2
platinum,59,0.902532737005047,0.8368925742837713,0.9735508104879733,4.506838431820483,0.8195354626880235,47226,0.036825761069742585,6,0,3
silver,17,0.6168340275055032,0.35728465766263284,0.3344722857566591,2.3443809633387747,0.5340314444308063,2037,0.42788542387461,10,0,1
refused,5,0.19298880919602618,0.026674789673069597,0.014344905823008547,1.1273805085348212,0.11354251521821146,1698,0.9094027395203784,65,1,0
gold,32,0.6743218010703316,0.6588155699141385,0.598203952533782,3.31805674489114,0.7078508926874694,13655,0.44480401461673025,6,0,2
silver,14,0.3644815660873944,0.3505155894909163,0.3358558740052402,2.0136649158233024,0.41128171201792396,3831,0.5157355569962674,15,1,1
refused,0,0.12737254643092397,0.281385690631831,0.29454516298945177,2.305948523097988,0.141287055717309,1870,0.833628763973508,58,1,0
gold,24,0.6242414177413562,0.6124360448073388,0.5141393216368733,4.002292872190639,0.4830053163382631,13186,0.3792767022072424,13,0,2
refused,3,0.3139108433533631,0.20898430546363223,0.13877495599483416,1.5210006485965952,0.1499723870087423,1433,0.7133310954446506,57,0,0
platinum,24,0.8819091842536343,0.9488499303686577,0.7394005379228134,4.995480490704257,0.8929794927352359,49332,0.11845245709948665,3,0,3
silver,11,0.3500555585886328,0.45634467165152715,0.39955433829671716,2.9591369602648565,0.2733470393911498,7232,0.6606561467516003,18,0,1
gold,28,0.8071632265295723,0.5954544132093347,0.6313125404799305,3.6145062920383966,0.7144457458766731,9535,0.2114141842785304,10,0,2
gold,34,0.7821945136126618,0.6443407941991628,0.5291030965574718,3.7730556191875415,0.5451777523070602,8757,0.2704625214015848,5,0,2
platinum,33,0.8522956810435577,0.8458050781849593,0.7472021979107577,4.526499194153781,0.894202242595015,26715,0.22003918448037127,3,0,3
gold,26,0.668809795259252,0.7313429000587144,0.5863614190215555,3.2026311472404423,0.6408316903930855,6025,0.3437277533814098,8,0,2
gold,18,0.6863702134308614,0.7328126473368438,0.5293229114319684,3.335720317064449,0.542954135025984,5992,0.3917114377443611,11,0,2
gold,33,0.7820927135849115,0.752206580872921,0.5557388631857052,3.1589647876103117,0.4768019706875601,17243,0.2110239006594945,13,1,2
gold,14,0.6155091909071954,0.5628158647939996,0.6350461675124075,3.621846878619025,0.6081765449852031,11249,0.3060548807197181,8,0,2
gold,35,0.6788409358165294,0.7782002001019654,0.5347927411806677,3.0799917957879672,0.7185255518298943,8231,0.22207877534967946,6,0,2
gold,13,0.6081108615117967,0.7337562965474559,0.5409604818112419,3.556723516145869,0.674699705221487,18091,0.4422914889331433,7,0,2
