months_active,bill_payment_ratio,qr_transaction_consistency,airtime_topup_frequency,psychometric_score,network_trust_score,avg_transaction_value,transaction_volatility,days_since_last_transaction,community_fraud_flag,risk_band
7,0.11566237472322866,0.49096436217508826,0.1656756001152424,1.1621792566571683,0.06534525902160175,6533,0.4108399810575185,41,1,0
13,0.9376267228955573,0.8085202669654278,0.6262638910377096,3.0711417340710967,0.6476566775596156,28552,0.35957994847228447,0,0,3
21,0.46972411164646016,0.6398602665301079,0.5091189974906422,3.199303105907713,0.263595626591108,9507,0.6356302928473347,19,0,1
5,0.5813392944398843,0.7439710235008149,0.6784655836786195,4.1291304242270055,0.474792597892196,5514,0.3291257252813093,16,0,2
20,0.535934844685866,0.3154831741080158,0.15614533057783545,3.415552795660318,0.3638464545581023,10862,0.30554564023125924,19,1,1
4,0.7311457708362934,0.40674856853168584,0.5589573130233324,3.0617854804716114,0.4244693392593375,10988,0.631808875160234,40,0,1
25,0.7667882413954646,0.6487742659305813,0.4135596641119508,2.723271858792123,0.7052182928078126,11679,0.5953663462597456,10,0,2
6,0.3910624946812343,0.18951109773313485,0.292697218694964,1.9107167759902486,0.30185873392030554,13108,0.9977629406819225,44,1,0
40,0.7378011845713315,0.7892664804207569,0.8114686914675593,4.430981814198549,0.7012301280930683,22835,0.10963698096193786,15,0,3
22,0.2569908564856824,0.2693879420563154,0.562804336253797,3.0674834315173767,0.6252751859718781,15937,0.2917551084377854,23,1,1
58,0.8948292737685178,0.7817071888876399,0.759130183338196,4.627532576639172,0.9039783881693095,31369,0.4317003834285009,12,0,3
14,0.722558753671273,0.4129342804415719,0.4853316580010497,2.0335274399629073,0.5698122479307803,19145,0.5478186234797842,36,0,1
14,0.5120188349337935,0.46617386397731436,0.16058190699101912,1.774275385667373,0.4826020517405336,15749,0.2964923740814497,38,0,1
4,0.7932143671481979,0.4169032832922513,0.6320467337377498,3.617906480540754,0.3112246242156623,10232,0.4871523843704594,1,1,2
26,0.9951899485533853,0.8924094685833126,0.5516544785620079,3.020855398794806,0.4721483359070054,23878,0.14762090124482108,14,0,3
31,0.7875463071426008,0.9941469248966939,0.7396394642881436,4.565392081488298,0.5918000994643269,11036,0.32955688223476326,18,0,3
20,0.8236772682748816,0.6728473380786416,0.6235002973730992,3.312812573601991,0.5522123730317184,21996,0.39144241310466765,1,1,2
12,0.8795029223832598,0.8159442548451347,0.5045362023263624,4.070716203685322,0.8695491639108028,16654,0.33805411570720556,11,0,3
21,0.59932849004062,0.265367369728925,0.23080803036514871,2.6064175931955322,0.3905335954237368,7152,0.8237555188164287,39,0,1
7,0.2090642723810103,0.35314440701950367,0.4381708057387808,1.1871782641448452,0.02287469889600689,1597,0.8426906365521676,29,0,0
21,0.821624817893079,0.43719182742034524,0.3611014795432192,3.59865273037203,0.3941925046674365,2080,0.6015298666647542,2,0,2
5,0.7120389026471348,0.5928910751968771,0.3714352530529452,1.7326474332123858,0.37971937330918926,3671,0.6169189567688643,12,0,1
14,0.3457517194799623,0.1889091419224525,0.27825902054035,2.401248716324602,0.2871627698209609,9612,0.6058142636688342,42,1,0
26,0.7908022451686586,0.4973695545893753,0.39734879985717636,3.6816317497910154,0.6370988114324648,6377,0.5532989997939473,15,1,2
13,0.04459638769645758,0.05645516942943796,0.0950646288647618,2.7547300914261363,0.2781901542890513,11240,0.7539539069642891,10,1,0
29,0.982201006056985,0.7565928440806008,0.7606301560902075,3.1740779251753173,0.7121779461511925,7912,0.2916332589065227,2,0,3
10,0.6241981781048715,0.5878273176630167,0.5050725187982517,2.9098478856555285,0.37605110288215715,5647,0.48064535854911095,25,0,1
19,0.8628554556311321,0.7670925962200428,0.532888343450962,2.8443373771052984,0.3461345022813814,27395,0.11692634804253806,15,0,2
16,0.5943584546089794,0.7593752696507945,0.5635449575713503,3.949862395039238,0.397554410012105,5407,0.20925785897462654,3,0,2
27,0.8697630452320226,0.9989022139073578,0.5547337993395576,3.8763446928239755,0.8549110066459225,17567,0.4109633179699648,10,0,3
16,0.8389244085687666,0.6342964208481927,0.40880268368596806,3.179385236959174,0.728306168112463,5891,0.10087155445648706,22,0,2
19,0.45975627509826317,0.4129989441616245,0.7523032390625628,4.217683166828521,0.6932629435517956,19743,0.5577051337691568,11,0,2
29,0.547658207851995,0.6473464902373008,0.4849434207998292,4.216738813439317,0.580792180483454,2799,0.36933721752182025,12,0,2
12,0.8666561875216943,0.5285403877708642,0.37775356262943083,2.901264180293147,0.4962938751805556,8192,0.2701878590332158,24,1,2
10,0.5906390420214984,0.4599376369148429,0.6931000348725951,2.807368271614494,0.6634889597642155,6675,0.23132124170218532,8,0,2
30,0.8804204725434398,0.7265845186060107,0.7762849997390302,3.3274657951606597,0.5640237245018996,7205,0.2723018061259983,17,0,2
17,0.4075279846593272,0.40703430972022125,0.3384098030739854,1.8466950839716874,0.2787056150983527,2916,0.5870787115972829,30,0,1
10,0.697151446659324,0.637125938342168,0.4468262897234052,2.913143021429481,0.4705597325259897,11613,0.6775628105528397,34,0,1
14,0.8810936781576856,0.8549421116869393,0.406567657930452,4.333922226204978,0.5819335159458833,2442,0.15761939504829203,14,1,2
16,0.6613105828883776,0.9392512381867534,0.797388318688468,3.24407010424879,0.9381747582541206,10069,0.20782109334295285,14,0,3
47,0.7820406791297916,0.7515286262227663,0.6632167882516464,3.3059676016571253,0.7514860875831412,6321,0.4377556132763081,16,0,3
13,0.37049834516115343,0.42299443869361575,0.18623193505747518,2.805825783933538,0.06145511701648518,13530,0.6841610808968106,78,0,0
11,0.7761207833218439,0.6347700059801397,0.9757749871776635,3.46510271673076,0.5874094611313081,21284,0.2486562230844862,7,0,3
25,0.68023912405734,0.7581662265050908,0.3629605312459334,3.1727874468058186,0.5999428940263873,5367,0.4579414795788589,6,1,2
5,0.3874541687411204,0.6272825844706202,0.5299985791654842,1.6343912789655228,0.4331953603155487,13294,0.44353554197996103,31,0,1
21,0.7459253221211386,0.513278370836434,0.4979420573995025,3.6046429947485557,0.6627390170077434,23703,0.3682453775734532,3,1,2
12,0.7052091223244765,0.8014794863583312,0.4576995289463114,3.9046499588394137,0.6055117057709622,20402,0.4697533562107441,10,0,2
23,0.5790181365483268,0.5056432317026908,0.3623617531308432,3.119731298816969,0.4192135894767418,7957,0.1349849478970754,14,1,2
45,0.6703677584279553,0.8983898102194872,0.7287160488868536,3.1425605401103276,0.5303254586147264,45604,0.09392142626888705,2,0,3
4,0.6764780568368745,0.624293828515439,0.22698717558284195,2.248397974190851,0.2986718737700228,1744,0.2983099351549071,21,0,1
14,0.5501012735462903,0.4883804237179621,0.2555191651043077,1.9839671126054919,0.2676627754798748,4624,0.5677378561890023,42,0,1
58,0.8763969265840533,0.9777638902309094,0.8465969704113405,4.332613771670079,0.45642166266055983,29039,0.030314463033234096,9,0,3
6,0.6686199997577297,0.4262822517177913,0.19001628488296832,2.5945527749078288,0.40455684624443955,5876,0.6270018191791922,7,1,1
38,0.909340851318734,0.8349814416936298,0.8257597334011324,3.5594070769429584,0.8495702276174659,6134,0.1455721238925895,1,0,3
29,0.8555735249501648,0.4439140088259802,0.4421237542774995,3.1299041238375187,0.7161195533542208,18528,0.38806717310406746,19,0,2
2,0.44705286706794733,0.27653655368360774,0.11089542635714501,2.606038764598733,0.27099380891169156,12515,0.6281727337017112,63,0,0
8,0.6000941296470266,0.3325904375651614,0.5860148674214334,2.328270745624709,0.6201170964364447,16202,0.4609168249581282,3,1,1
16,0.4432077809152906,0.4014864000616971,0.20225378132136204,3.533361251656182,0.43811470588896717,10424,0.7127881799350084,33,0,1
2,0.2770672042011604,0.5394391161952983,0.38761373350087014,3.7000970356906886,0.3192402551839888,6077,0.38409925261278655,23,0,1
27,0.6950619394048754,0.9922307200719953,0.7231843232562928,3.709682720513781,0.8246129957983712,3882,0.42292477522998384,8,0,3
24,0.5987306336133634,0.6156620356426248,0.36974625628493185,2.212476714865313,0.3693811103258149,15844,0.27694569790523893,12,0,1
26,0.7271371427212274,0.8483094275893692,0.7981971420953149,3.4128268794248484,0.6917919473714418,17217,0.21207681880508505,15,0,2
9,0.373308711345337,0.24351678254577713,0.1696217880202732,1.9106256804413442,0.15878272785198347,16421,0.29313965119449764,3,0,1
22,0.6094335402441384,0.6115547397204465,0.5363591815605943,4.070013672416524,0.32321682774140614,25480,0.45056587386432423,21,1,2
9,0.04670618646276779,0.18923752536368577,0.3160415332735874,1.216245214592123,0.3793232879447677,1843,0.8727821604449583,78,1,0
9,0.27152997023314257,0.3041651275734955,0.2854338347341487,2.7977580811586495,0.027530946413282943,327,0.5015295400836948,79,0,0
23,0.8508754004116532,0.7086900892565682,0.5368200542257897,3.080736424972041,0.677982924465624,10656,0.24356576591139711,8,0,2
9,0.5032506005184627,0.36818435594185484,0.47340283017454843,3.0065568017317066,0.5084420877986386,18370,0.7477138993004528,16,0,1
29,0.8727412591061039,0.8965843644556182,0.9806576440924537,3.7215450382211994,0.7825319586821379,24386,0.47149190840802124,7,0,3
7,0.5754394187478886,0.6449829343733406,0.42860952246502193,2.4473642002328555,0.6375509505501001,1669,0.755919484974211,35,0,1
21,0.7431584211360065,0.6197833532377109,0.4143429268394099,3.387553381822462,0.40228848394640027,12882,0.7821594377903032,18,0,1
9,0.6965909250056174,0.8578186602503288,0.7900561148477341,3.948672219812428,0.8381476882540875,24083,0.41239392813889336,17,0,3
4,0.6885774501855971,0.6731544496041937,0.31703860870892364,2.8928116299560394,0.6221661178741458,8121,0.28646870117764206,7,0,1
17,0.4880482559743734,0.753676698760722,0.5677324865149505,2.833528537745384,0.5185860247800886,2634,0.46664983982618313,10,0,2
19,0.5756851808818906,0.4274736128880685,0.7704890975791312,2.9365463975629877,0.5580674023372489,19529,0.19715366642875826,2,0,2
16,0.8078186565956366,0.9816347746158532,0.7563076026029025,3.784787443056949,0.4022902804746083,23219,0.49504318803374103,15,0,3
21,0.6200746968487953,0.5907451216292859,0.48218770542578115,2.576027430186844,0.3789547034823577,6221,0.4844215304128656,19,0,1
32,0.730984793817472,0.852338290944839,0.5539703573397596,3.9747459440613424,0.6860447619406425,13953,0.273019850600425,10,0,2
56,0.7049421889506678,0.8353055027879724,0.6155654562138233,4.029315173147023,0.7355108840975959,43697,0.12765453825196582,8,0,3
7,0.26957087373512817,0.2794161587774087,0.028282805216025785,1.9777515215069892,0.11401022810164807,11722,0.7656678443054032,25,0,0
55,0.8909749652678782,0.9402909840065818,0.9300634082089618,4.793428579680245,0.8682398656883648,13332,0.37980571434989824,16,0,3
27,0.7605753089547279,0.7944411601529874,0.7616125521516757,3.517367901368158,0.5441548214129226,8999,0.37768114830241895,9,0,2
24,0.5033456005031494,0.6087491282628332,0.588423887077056,3.153214780086059,0.487661763403583,17173,0.506876830426085,23,1,1
5,0.48690421748006935,0.6416841490154559,0.5294659743073408,1.9162380471494052,0.4205151445314057,16582,0.2740836328992461,9,0,1
3,0.7121581775037146,0.41749009894402256,0.577801313527014,2.5465253743060017,0.606447990153117,10644,0.7466026813415165,13,1,1
12,0.5031155180454401,0.3825228467380567,0.1802234614926351,2.0527426257131105,0.2670381019920576,8695,0.3402075248390599,20,0,1
7,0.15836510508705415,0.39585894078176415,0.13544392916780257,1.357462473190454,0.278602387808328,9700,0.7174128043357144,20,0,0
25,0.5097352329026664,0.7416534135956558,0.3746119285593204,3.8317155324325545,0.7588793213175804,20276,0.28021023002598855,8,0,2
57,0.654785187689449,0.8795383412643618,0.7168276669781944,3.4577892096932272,0.998246894248997,9139,0.2612698583660266,5,0,3
14,0.37858856801221363,0.30753573573252624,0.2964178112301302,3.050260211990105,0.17292600918735077,15485,0.5102367297375867,26,0,1
2,0.45726041469509054,0.2801969375030726,0.29854027493899915,3.333695758990647,0.6136328163157045,1594,0.5779565580983468,10,0,1
0,0.49460333589498323,0.23346108878185762,0.16796473155741395,1.6477920555421026,0.23037116811548394,1813,0.7005770958156186,64,1,0
14,0.791820730373496,0.7510903789760677,0.6127700712218678,4.019448493503396,0.9171921450425634,16467,0.41488156014382244,15,1,3
40,0.9149496962602801,0.8880810326529183,0.7079536830734704,3.497160515429884,0.9928393399916644,4932,0.427110953170434,17,0,3
8,0.3299693602724588,0.43790992102576304,0.17801195036224352,2.1146239439680468,0.34842003488447115,10294,0.4294532499693944,63,0,0
10,0.05824848489612782,0.25244540713948055,0.10842841918662427,2.0145715105812694,0.1251241001835244,12468,0.49797500919853543,85,1,0
7,0.49919770615170067,0.8082420295977266,0.372861165360024,4.063865159576418,0.501196782407215,14482,0.12544200409370615,18,0,2
8,0.5148874576283993,0.5356517565467581,0.4832692276488444,2.549042418889589,0.3219803067917838,6285,0.42802377350193976,3,0,1
19,0.6467955986011618,0.39975323763028214,0.5284973797448278,2.5466189210587187,0.29673928867950716,10037,0.8045426204884797,28,0,1
4,0.12962876515853067,0.16099154364206197,0.09622586505020876,1.1424001969489963,0.000903170627538319,10486,0.9729298232605302,70,0,0
4,0.45858928277004796,0.8766128635757955,0.4217929805097906,3.1572086789596856,0.4490196660472255,23408,0.13473829049027664,3,0,2
28,0.7415134365063887,0.46409643191715977,0.7513429085037845,2.985890723374088,0.31002635489200425,17355,0.3943890040461201,5,0,2
18,0.49633928821371015,0.8505830249795368,0.45002724498736335,4.48366358492726,0.5620773338473779,22169,0.5459554623492491,2,0,2
21,0.3655444610672843,0.4895362638429972,0.2654701796103669,3.4370831844835976,0.17169834707802592,16235,0.7607733035785089,35,1,1
59,0.9079852470450567,0.9549841930054012,0.7671211029882226,3.627455382388192,0.879006512934597,14738,0.4532104819572184,14,0,3
14,0.5638220856633112,0.5898007697163414,0.6647231334443153,2.712183559225818,0.39787301477408266,25576,0.36682254924288415,15,0,2
23,0.8911724622478849,0.6425753231228463,0.5935571964952235,3.2524587567223824,0.6818015335440069,23787,0.27435053335386717,9,0,2
43,0.7939223523052652,0.9505776303501176,0.806472087432803,4.872898347767321,0.6685617641921302,22799,0.3805441530119378,14,0,3
9,0.7187409784899108,0.5640955690231125,0.5223063563167606,3.182298651639366,0.5228194004110809,25406,0.6332562813727519,24,0,2
